n = 1000
time elapsed = 0.02
i              x              V
987       0.987013        0.01298
988       0.988012      0.0119816
989       0.989011      0.0109831
990        0.99001      0.0099847
991       0.991009     0.00898626
992       0.992008      0.0079878
993       0.993007     0.00698934
994       0.994006     0.00599088
995       0.995005     0.00499241
996       0.996004     0.00399394
997       0.997003     0.00299546
998       0.998002     0.00199698
999       0.999001    0.000998492
